Model,Accuracy,Precision,Recall,F1-Score
Naïve Bayes,0.998789654733087,0.9989808255951398,0.998789654733087,0.9988451557020271
Logistic Regression,1.0,1.0,1.0,1.0
KNN,0.9998566696394445,0.9998566931077466,0.9998566696394445,0.9998566641552659
Decision Tree,1.0,1.0,1.0,1.0
Multi-layer Perceptron,0.9999840744043828,0.9999840824884414,0.9999840744043828,0.9999840383263994
