Model,Accuracy,Precision,Recall,F1-Score
Naïve Bayes,0.8226047904191617,0.8628529781758155,0.8226047904191617,0.8126465159054264
Logistic Regression,0.821235189196076,0.8637085639011314,0.821235189196076,0.8108011907324865
KNN,0.8107561472799083,0.8222816338762196,0.8107561472799083,0.8056036427152381
Decision Tree,0.8287839215186648,0.8589512907569977,0.8287839215186648,0.8209567275892884
Multi-layer Perceptron,0.8287839215186648,0.8592918565686248,0.8287839215186648,0.8209003824687715
