Model,Accuracy,Precision,Recall,F1-Score
Naïve Bayes,0.9677733333333334,0.9428785390975386,0.9677733333333334,0.9545587408105766
Logistic Regression,0.9703333333333334,0.9712135676772525,0.9703333333333334,0.955862063413523
Decision Tree,0.9713266666666667,0.9659414733909026,0.9713266666666667,0.9590289873765286
